id,is_softdev,is_first_softdev_job,months_jobsearch,work_pref,career_fullstack,career_backend,career_frontend,career_mobdev,career_devops,career_datasci,career_teach,career_qa,career_ux,career_prodm,career_gamedev,career_infosec,career_dataeng,career_other,job_start,salary_frstjob,loc_pref,will_reloc,code_goal,code_goal_other,rsrc_fcc,rsrc_mdn,rsrc_stack,rsrc_edx,rsrc_coursera,rsrc_khan,rsrc_pluralsight,rsrc_codecademy,rsrc_udacity,rsrc_udemy,rsrc_codewars,rsrc_treehouse,rsrc_HackerRank,rsrc_fem,rsrc_lynda,rsrc_egghead,rsrc_csstricks,rsrc_other,codeevent_fcc,codeevent_hckathon,codeevent_conf,codeevent_wrkshp,codeevent_startupwknd,codeevent_nodeschool,codeevent_wwc,codeevent_gdi,codeevent_coderdojo,codeevent_meetupcom,codeevent_railsbridge,codeevent_gamejam,codeevent_railsgrl,codeevent_djangogrl,codeevent_wkndbootcmp,codeevent_other,codepodcast_fcc,codepodcast_codenewbie,codepodcast_changelog,codepodcast_sed,codepodcast_jsjabber,codepodcast_syntax,codepodcast_ltcwm,codepodcast_fullstckrad,codepodcast_frntendhh,codepodcast_codeblck,codepodcast_sts,codepodcast_devtea,codepodcast_prgthrdwn,codepodcast_gkspk,codepodcast_hanselmins,codepodcast_tlkpython,codepodcast_rubyrogues,codepodcast_codepen,codepodcast_ser,codepodcast_other,codeyt_mit,codeyt_fcc,codeyt_comphile,codeyt_devtips,codeyt_csdojo,codeyt_engtruth,codeyt_learncode,codeyt_lvluptuts,codeyt_fff,codeyt_ct360,codeyt_codetrain,codeyt_drkbanas,codeyt_simplilrn,codeyt_bulldog,codeyt_mozilla,codeyt_googledev,codeyt_other,hrs_study,months_code,bootcamp_attend,bootcamp_name,boothcamp_finish,boothcamp_loan,boothcamp_recommend,amt_spent_code,age,gender,gender_other,citizenship,residence,rsdnce_pop,is_etnic_grp,speaking_lang,degree,major,marital,has_financial_dep,has_chldren,num_children,is_spprt_relative,has_debt,has_mortgage,amt_mortgage,has_studloan,amt_studloan,employmnt_stat,employmnt_stat_other,field,lastyr_income,workperday_min,is_underemployed,served_military,has_disability_bnft,has_internet,ts_start,ts_end,network_id
255a1cab3fda96d954782a560772ceda,0,NA,NA,work for a multinational corporation,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Within the next 6 months,4000,no preference,1,To change careers,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,23,Male,NA,India,India,more than 1 million,0,Hindi,"some college credit, no degree",Information Technology,"single, never married",1,0,0,0,1,1,100000,0,NA,Employed for wages,NA,health care,1569,15 to 29 minutes,1,0,0,1,2018-10-26T16:19:43Z,2018-10-26T16:27:30Z,5c1efeb64a
f3d9f795c351682ab9d95d695db29edf,0,NA,NA,work for a startup,1,NA,NA,1,NA,1,NA,1,1,NA,1,1,1,NA,Within 7 to 12 months,80000,in an office with other developers,1,To change careers,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SoloLearn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Traversy Media,NA,1,0,NA,NA,NA,NA,20,27,Male,NA,United States of America,United States of America,more than 1 million,1,English,high school diploma or equivalent (GED),NA,"single, never married",1,0,0,1,1,0,NA,0,NA,Employed for wages,NA,software development and IT,22000,45 to 60 minutes,0,0,0,1,2018-10-20T06:46:19Z,2018-10-20T06:55:08Z,96ec814f58
af7068938df51ae89f7a0f863da60f22,0,NA,NA,freelance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,LinuxAcademy.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,Sentdex,4,2,0,NA,NA,NA,NA,30,29,Male,NA,India,India,more than 1 million,0,Marathi,bachelor's degree,Computer Science,"single, never married",1,0,0,0,1,0,NA,0,NA,Employed for wages,NA,software development and IT,10000,I work from home,0,0,0,1,2018-10-20T06:30:20Z,2018-10-20T06:37:56Z,f97a1494ea
b7dd8b781dbe4e3c30bf8789ab7d5359,0,NA,NA,work for a multinational corporation,1,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,Within 7 to 12 months,30000,no preference,1,To change careers,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,20,1,0,NA,NA,NA,NA,49,38,Male,NA,Singapore,Malaysia,more than 1 million,1,Malay Bhasa Indonesia,high school diploma or equivalent (GED),NA,divorced,1,0,0,1,1,1,100000,0,NA,Not working but looking for work,NA,NA,NA,NA,NA,0,0,0,2018-10-20T04:04:33Z,2018-10-20T05:04:26Z,1b8ad30846
348a83b12042ceb05f8c0125a1378791,0,NA,NA,work for a startup,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,I haven't decided,50000,from home,NA,To start a business or to freelance,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Telusko,14,0,0,NA,NA,NA,NA,0,18,Male,NA,Pakistan,Pakistan,more than 1 million,0,Urdu,no high school (secondary school),NA,"single, never married",1,0,0,1,0,NA,NA,NA,NA,NA,Student,NA,NA,NA,NA,0,0,1,2018-10-19T18:17:54Z,2018-10-19T18:25:52Z,40d9fbffe2
640b8859bcc771b0dc1097aa0ce4b3f0,0,NA,NA,work for a medium-sized company,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,I haven't decided,90000,no preference,0,As a hobby,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,30,3,0,NA,NA,NA,NA,1500,48,Male,NA,United States of America,United States of America,"less than 100,000",1,English,"some college credit, no degree",Biology and Biological Sciences,married or domestic partnership,1,0,0,0,0,NA,NA,NA,NA,Employed for wages,NA,software development and IT,120000,45 to 60 minutes,0,0,0,1,2018-10-19T18:16:25Z,2018-10-19T18:24:17Z,3837df333b
26318be3bd617b233bcf7de82c1140d6,0,NA,NA,start your own business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,0,NA,NA,NA,NA,100,32,Male,NA,Nigeria,Nigeria,more than 1 million,0,English,bachelor's degree,Economics,married or domestic partnership,1,0,0,1,0,NA,NA,NA,NA,Not working but looking for work,NA,NA,NA,NA,NA,0,0,1,2018-10-19T17:56:54Z,2018-10-19T18:09:34Z,eac0b63d57
6dbfc4cfd7abe029c324e3d32b8eb70d,0,NA,NA,work for a multinational corporation,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,Within the next 6 months,15000,no preference,1,To succeed in current career,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,26,Male,NA,India,India,more than 1 million,1,Urdu,bachelor's degree,Computer Science,"single, never married",1,0,0,1,1,0,NA,0,NA,Not working but looking for work,NA,NA,NA,NA,NA,0,0,0,2018-10-19T17:11:32Z,2018-10-19T17:19:50Z,bc7c603b00
97b39ad5ae3f27a5c4741b7897a98a56,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No He Asistido,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pildoras Informaticas,2,2,0,NA,NA,NA,NA,0,28,Male,NA,Colombia,Colombia,more than 1 million,0,Spanish,high school diploma or equivalent (GED),NA,"single, never married",1,0,0,0,1,0,NA,1,3000,Employed for wages,NA,software development and IT,NA,Less than 15 minutes,0,0,0,1,2018-10-19T15:58:17Z,2018-10-19T16:04:19Z,58201390f0
8d87d1b2900888d6f42702e04ed61ce5,0,NA,NA,freelance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,33,Female,NA,United States of America,United States of America,"between 100,000 and 1 million",0,English,bachelor's degree,French Language and Literature,married or domestic partnership,1,0,0,0,0,NA,NA,NA,NA,Employed for wages,NA,finance,70000,15 to 29 minutes,0,0,0,1,2018-10-19T13:55:37Z,2018-10-19T14:09:23Z,499d8b02fd
